Disease,Risk Factors,Symptoms,Signs,Subtypes
Acute Coronary Syndrome,"['Hyperlipidemia', 'hypertension', 'smoking', 'diabetes', 'infection', 'hyperthyroidism', 'severe arrhythmia', 'anemia', 'hypoxemia', 'etc.']","['Chest pain', 'sweating', 'nausea', 'vomiting', 'palpitations', 'dyspnea', 'arrhythmia with weakness', 'dizziness or syncope', 'hypotensive shock', 'acute left heart failure', 'etc.']",[],"{'UA': 'hs-cTn levels are normal，Normal ECG', 'NSTEMI': 'The peak hs-cTn exceeded the 99th percentile of the normal control value; Elevated levels of cardiac biomarkers, especially troponin T or I', 'STEMI-ACS': 'ST-elevation; ECG Wide and deep Q waves; T-wave inversion hs-cTn increases at 3-4 hours and peaks at 11-12 hours', 'Strongly Suspected ACS': 'More severe clinical presentations; slight cardiac structural abnormalities; Coronary stenosis', 'NSTE-ACS': 'non-ST-elevation'}"
Adrenal Insufficiency,"['Autoimmune diseases', 'Genetic predisposition', 'Infections (e.g., tuberculosis, HIV)', 'Adrenal hemorrhage', 'Anticoagulant therapy', 'Chronic use of glucocorticoids or other immunosuppressive drugs', 'Certain medications that affect adrenal function', 'etc.']","['Fatigue', 'Muscle weakness', 'Weight loss', 'Gastrointestinal symptoms (nausea, vomiting, diarrhea)', 'Low blood sugar', 'Hyperpigmentation (in primary adrenal insufficiency)', 'Various abnormal manifestations of skin;Changes in serum potassium levels', 'Salt craving', 'Dizziness or fainting upon standing', 'Low blood sugar levels', 'etc.']","['Hyperpigmentation (especially in creases of skin, on scars, or gums, in primary adrenal insufficiency)', 'Low blood pressure', 'especially when standing (orthostatic hypotension)', 'Dehydration', 'Abdominal tenderness', 'Electrolyte imbalances (hyponatremia, hyperkalemia)', 'Rapid heart rate', 'etc.']","{'Primary Adrenal Insufficiency': ""1. Often there are high ACTH levels because the adrenal glands do not respond to ACTH \n ;2. Both PAI and SAI may present with hyporesponsiveness, but in PAI cortisol does not increase even when ACTH is given because the adrenal glands are damaged \n ;3. In PAI, imaging studies may show structural abnormalities in the adrenal glands.\n ;4. May be associated with significant electrolyte imbalances such as hyponatremia and hyperkalemia \n ;5. Aldosterone is usually not involved, so hyperkalemia is unlikely \n ;6 have Addison's disease."", 'Secondary Adrenal Insufficiency': '1. ACTH levels are low or normal because the problem originates from the pituitary gland or hypothalamus, which does not secrete ACTH adequately.\n ;2. Cortisol increases when ACTH is given \n ;3 For SAI, an MRI or CT scan may be needed to evaluate the structure of the pituitary gland and hypothalamus .', 'Congenital Adrenal Hyperplasia': '1.Hormone measurements in blood and urine, specifically 17 hydroxyprogesterone (17-OHP), cortisol, androgens, and aldosterone. ;2.Patients with CAH often present with abnormally elevated 17-OHP levels.; 3.ACTH stimulation test: Measures changes in 17-OHP levels before and after ACTH (adrenocorticotropic hormone) injection to evaluate adrenocortical function.;4. Genetic testing can confirm the diagnosis of CAH and identify the specific type of enzyme defect, the most common being 21-hydroxylase deficiency.'}"
Alzheimer,"['Age', 'genetic factors', 'gender', 'cardiovascular health', 'head trauma', 'intellectual activity', 'lifestyle and diet', 'other diseases such as diabetes, depression, and sleep disorders.', 'etc.']","['Cognitive decline, including memory loss and deterioration of other functions', 'impairment in at least two cognitive areas', 'progressive decline in memory and cognition without loss of consciousness', 'typically occurs between ages 40 and 90, with higher frequency after 65', 'absence of other systemic or brain diseases to explain the decline', 'specific cognitive functions may deteriorate, such as language, motor skills, and perception', 'difficulty in daily activities and changes in behavior', 'family history of similar disorders, especially if confirmed by neuropathology', 'additional symptoms may include depression, insomnia, incontinence, delusions, hallucinations, outbursts, sexual disorders, and weight loss', 'some patients may exhibit neurological abnormalities like increased muscle tone, myoclonus, or gait disturbances', 'seizures may occur in advanced stages.', 'etc.']",[],"{'Alzheimer': ""1. Clinical Assessment\n    Detailed medical history and neuropsychological tests: Evaluate the patient's cognitive functions, including memory, attention, language abilities, executive functions, and visuospatial skills.\n    Neuropsychological assessment tools: Such as the Mini-Mental State Examination (MMSE) and the Montreal Cognitive Assessment (MoCA).\n;2. Imaging Studies\n    Magnetic Resonance Imaging (MRI): Used to check for structural changes in the brain, particularly atrophy in the hippocampus and other memory-related areas.\n    Positron Emission Tomography (PET):\n        FDG-PET: Assesses brain metabolic activity; patients with Alzheimer's disease typically show reduced glucose metabolism in the temporal-parietal lobes.\n        Amyloid PET: Detects amyloid-beta deposits in the brain, a significant biomarker of Alzheimer's disease.\n;3. Cerebrospinal Fluid (CSF) Biomarkers\n    Amyloid-beta 42 (Aβ42): In patients with Alzheimer's, the level of Aβ42 in the CSF is typically reduced.\n    Total tau and phosphorylated tau proteins: Levels of these markers are usually elevated in the CSF of patients with Alzheimer's.\n;4. Genetic Testing\n    APOE ε4 allele: This is one of the most significant genetic markers known to be associated with an increased risk of Alzheimer's disease.""}"
Aortic Dissection,"['Hypertension', 'Atherosclerosis', 'Family history', 'High cholesterol', 'Smoking', 'Inherited connective tissue disorders', 'Previous cardiac surgery', 'Pregnancy', 'etc.']","['Intense chest or upper back pain', 'Sudden severe abdominal pain', 'Loss of consciousness', 'Shortness of breath', 'Weakness or paralysis', 'Weak pulse in one arm or thigh', 'Leg pain', 'Difficulty speaking or loss of vision', 'etc.']",[],"{'Type A Aortic Dissection': 'CT, MRI, TEE checking\nType A: Dissection affecting the ascending aorta and possibly extending into the descending aorta', 'Type B Aortic Dissection': 'CT, MRI, TEE checking\nType B: Dissection limited to descending aorta'}"
Asthma,"['Allergies', 'family history of asthma or allergies', 'occupational exposures', 'smoking or exposure to secondhand smoke', 'air pollution', 'frequent respiratory infections', 'etc.']","['Recurrent episodes of wheezing', 'breathlessness', 'chest tightness', 'blood-tinged sputum and coughing', 'particularly at night or early morning', 'Sometimes accompanied by hypertension.;etc.']","['Observable signs during a physical examination might include wheezing on auscultation, especially after exercise or during an acute episode;after giving medicine, patient still has different breathe sound', 'etc.']","{'Severe Asthma': ""doesn't respond well to conventional treatments needs stronger treatments;family history can also increase the probability;  acute attack regularly and severe; persistent flow limitation, even after giving enough bronchodilators; often accompanied with obesity or anxiety and depression"", 'Allergic Asthma': 'Triggered by allergens such as pollen, dust mites, or pet dander, etc.', 'Non-Allergic Asthma': 'Triggered by factors not related to allergies, like stress, exercise, illnesses, or cold air, etc.', 'Cough-Variant Asthma': 'long-lasting dry cough that is not accompanied by other typical asthma symptoms such as wheezing or difficulty breathing; diurnal variation of peak expiratory flow>20%; often accompanied by a marked irritating cough at night; bronchodilators are effective', 'Asthma-COPD': ""Features of both asthma and chronic obstructive pulmonary disease (COPD), with symptoms and airflow limitation that aren't fully reversible;lasting airflow limitation; the elder has obvious symptoms"", 'Asthma': 'Spirometry: A significant improvement in FEV1 (Forced Expiratory Volume in 1 second) of more than 12% and 200 ml from baseline after administration of a bronchodilator confirms the reversibility of airflow obstruction.\nFractional Exhaled Nitric Oxide (FeNO): Elevated levels indicate eosinophilic inflammation, supporting the diagnosis of asthma.\nPeak Expiratory Flow Variability: Monitoring over time can show variability in lung function, supporting an asthma diagnosis.\nHyperreactivity tests :An abnormal result in non-specific bronchial hyperreactivity tests (e.g., methacholine challenge test) may also lead to a strong suspicion of asthma.'}"
Atrial Fibrillation,"['High blood pressure', 'Hyperthyroidism', 'Obesity', 'Diabetes', 'Smoking and alcohol consumption', 'Sleep apnea', 'Family history', 'Age', 'Gender', 'etc.']","['Palpitations or a feeling that the heart is beating too fast', 'Fatigue', 'Shortness of breath', 'especially during activity', 'Dizziness or a feeling of fainting', 'Chest pain', 'Decreased ability to exercise', 'Irritability or anxiety', 'Insomnia', 'etc.']",[],"{'Paroxysmal Atrial Fibrillation': 'ECG: Episodes of AF that terminate spontaneously, usually within 7 days, most often within 24 hours.; During an episode, the ECG shows absence of P waves, replaced by irregular atrial activity, and irregular R-R intervals', 'Persistent Atrial Fibrillation': 'ECG: AF episodes that last more than 7 days.; The ECG features are similar, showing no P waves, irregular atrial activity, and irregular R-R intervals.'}"
Cardiomyopathy,"['Genetic predisposition', 'Long-standing high blood pressure', 'Viral infections', 'Alcohol and toxins', 'Metabolic disorders and nutritional deficiencie', 'etc.']","['Fatigue and weakness', 'Shortness of breath', 'Swelling of the legs and ankles', 'Arrhythmias', 'Chest pain', 'etc.']",[],"{'Dilated Cardiomyopathy': ""Echocardiogram: Demonstrates enlargement of the left ventricle or both ventricles and reduced contractile function. Specific values include increased Left Ventricular End-Diastolic Diameter (LVEDD) and a Left Ventricular Ejection Fraction (LVEF) below the normal range (<50%).\n;ECG: May reveal signs of abnormal rhythms or ventricular enlargement.\n;MRI: Can further assess cardiac structure and function, confirming ventricular volume enlargement and myocardial mass increase.\nCardiac catheterization and endomyocardial biopsy: In certain cases, these may be necessary to determine the heart's pressures and pumping efficiency and to directly examine the heart muscle tissue."", 'Hypertrophic Cardiomyopathy': 'Echocardiogram: Increased thickness of the myocardial wall (typically >15mm) without any other cardiac disease that could explain the thickening.\n;MRI: Used for a detailed assessment of myocardial thickness and to detect areas of hypertrophy that might not be visible on an echocardiogram', 'Restrictive Cardiomyopathy': 'Echocardiogram: Shows normal or nearly normal ventricular sizes and wall thickness but abnormal ventricular filling and mitral inflow patterns indicative of restrictive filling.\n;MRI: Helps assess cardiac structure, particularly for any fibrosis or calcification of the myocardium and pericardium.\n;Cardiac catheterization: Measures intracardiac pressures, showing elevated pressures during mitral inflow, consistent with a typical restrictive filling pattern.', 'Arrhythmogenic Right Ventricular Cardiomyopathy': 'Echocardiogram: May reveal specific arrhythmias, T-wave inversions in right ventricular leads, and epsilon waves on the ECG\n;ECG: Shows enlargement and dysfunction of the right ventricle.\n;MRI: Visualizes fatty infiltration and/or scarring of the right ventricle.\n;Cardiac Biopsy: In some cases, can diagnose by detecting fat and fibrous tissue changes in the myocardium.'}"
COPD,"['Long-term exposure to harmful particles or gases (tobacco smoke, occupational dust and chemicals, air pollution) / Genetic predisposition (e.g., alpha-1 antitrypsin deficiency)', 'etc.']","[': Chronic cough', 'Sputum production', 'Dyspnea', 'especially during physical activities', 'Frequent respiratory infections', 'etc.']","['Wheezing、Chest tightness、Prolonged expiratory phase、Decreased breath sounds、Cyanosis (in advanced stages)、Use of accessory muscles for breathing.', 'etc.']","{'Mild COPD': 'FEV1 ≥ 80% predicted', 'Moderate COPD': '50% ≤ FEV1 < 80% predicted', 'Severe COPD': '30% ≤ FEV1 < 50% predicted', 'Very Severe COPD': 'FEV1 < 30% predicted or FEV1 < 50% predicted plus chronic respiratory failure', 'COPD': 'Post-bronchodilator FEV1/FVC < 0.70 confirms the presence of persistent airflow limitation.'}"
Diabetes,"['family history of diabetes', 'obesity or overweight', 'physical inactivity', 'high blood pressure', 'abnormal cholesterol levels', 'history of gestational diabetes', 'polycystic ovary syndrome', 'age greater than 45 years', 'certain racial or ethnic backgrounds', 'etc.']","['increased thirst', 'frequent urination', 'unexplained weight loss', 'increased hunger', 'blurry vision', 'numbness or tingling in the feet or hands', 'sores that do not heal', 'extreme fatigue', 'etc.']","['high fasting plasma glucose levels', 'elevated 2-hour plasma glucose levels during an oral glucose tolerance test', 'high A1C levels', 'presence of ketones in urine', 'rapid weight loss', 'acanthosis nigricans', 'etc.']","{'Type I Diabetes': 'Type 1 diabetes often involves an autoimmune process, so the following autoimmune markers can be used to aid diagnosis: anti-islet cell antibodies (ICA) ;anti-glutamate decarboxylase antibodies (GADA); anti-insulin antibodies (IAA) ;anti-tyrosine phosphatase-related Antibodies (IA-2A);These antibodies are positive in most patients with type 1 diabetes but are usually absent in patients with type 2 diabetes.', 'Type II Diabetes': 'Type 2 diabetes is often associated with insulin resistance and may involve testing for  Insulin levels and C-peptide levels: The diagnosis of type II diabetes should be determined according to the curve shape of the values of C-peptide release test and insulin release test in different states,for example,fasting,30min,60min,120min,180min. Able-bodied person:fasting basic plasma insulin is 5-20mlU/L,OGTT reached the peak value after 10min,and insulin returns to the basic level after 180 min;fasting C-peptide level was 1.1-4.4ng/ml,the secretion reached the peak which reaches 5-6 times of the basic value. Pre-diabetic patients:often in early stage type II diabetes, insulin levels may be normal or high. Classic type II diabetes:fasting insulin levels are normal or  above the  normal range.the peak is delayed after oral glucose,may reach the peak at 120min,but did not fall to the normal levels at 180min;fasting C-peptide level can be normal,high or low,the release curve rises slowly after taking sugar,the peak is delayed,and the release curve still does not fall back to the fasting level after 180 min. C-peptide testing can help evaluate the function of pancreatic beta cells and their ability to produce insulin.', 'Specific Types of Diabetes': 'Due to other conditions', 'Gestational Diabetes Mellitus': 'Diagnosed during pregnancy through glucose testing strategies that may include the OGTT', 'Diabetes': 'The definitive diagnosis of diabetes hinges on meeting one of the following criteria: a fasting plasma glucose (FPG) level of ≥126 mg/dL; a 2-hour glucose value of ≥200 mg/dL during an OGTT, or a random plasma glucose of ≥200 mg/dL in the presence of classic symptoms of hyperglycemia or hyperglycemic crisis.'}"
Epilepsy,"['fever', 'mental or physical stress', 'certain medications', 'excessive alcohol or caffeine intake', 'Brain Malformations', 'Genetic Abnormalities: Such as intracranial structural abnormalities, genetic neurodevelopmental disorders.', 'Metabolic Abnormalities: Such as electrolyte imbalances, hypoglycemia. Central Nervous System Infections: Meningitis, encephalitis', 'etc.']","['Patients with epilepsy may experience seizures that vary in frequency from several weeks to several months apart. Some may have seizures more likely to occur under specific conditions, such as lack of sleep, high stress, or exposure to intense light.', 'etc.']","['Before, mood changes, unusual sensations (such as strange tastes or sounds), fear, or gastrointestinal discomfort. During a Seizure: Symptoms can include loss of consciousness, muscle twitching, involuntary movements, cessation of activity, staring, chewing, or fumbling movements. After a Seizure (Postictal Symptoms): Post-seizure confusion, fatigue, headache, muscle pain, or memory loss are common., etc.']","{'Non-epileptic Seizure': 'Maybe related to specific situations, such as emotional stress or psychological trauma, without prodromal symptoms\nEEG shows normal or no typical epileptic discharges', 'Epilepsy': 'EEG typical epileptiform discharges, such as spikes and slow waves, may be recorded;\nVideo EEG-recorded epileptiform discharges, matching clinical seizure symptoms;\nImaging Studies:\n  ;  MRI: Preferred imaging modality for its ability to reveal subtle structural abnormalities such as cavernomas, cerebellar hypoplasia, or heterotopia, which could underlie epilepsy.\t\n  ;  CT Scan: Often used in emergency settings for rapid identification of large-scale abnormalities like tumors, hemorrhage, or significant brain atrophy, particularly when an MRI is not immediately available.'}"
