Model,Encoding,k,Metric,Accuracy,Precision,Recall,F1-Score
KNN,TF-IDF,3.0,euclidean,0.5972222222222222,0.20873015873015877,0.2755555555555556,0.23354700854700852
KNN,One-Hot,3.0,euclidean,0.5972222222222222,0.2111111111111111,0.31111111111111106,0.23134920634920633
KNN,TF-IDF,3.0,manhattan,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
KNN,One-Hot,3.0,manhattan,0.5972222222222222,0.2111111111111111,0.31111111111111106,0.23134920634920633
KNN,TF-IDF,3.0,cosine,0.5601851851851852,0.1596230158730159,0.1922222222222222,0.17341269841269843
KNN,One-Hot,3.0,cosine,0.40277777777777773,0.14226190476190476,0.1366666666666667,0.1361111111111111
KNN,TF-IDF,5.0,euclidean,0.6388888888888888,0.1671626984126984,0.23611111111111113,0.19487179487179487
KNN,One-Hot,5.0,euclidean,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
KNN,TF-IDF,5.0,manhattan,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
KNN,One-Hot,5.0,manhattan,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
KNN,TF-IDF,5.0,cosine,0.6388888888888888,0.1671626984126984,0.23611111111111113,0.19487179487179487
KNN,One-Hot,5.0,cosine,0.5972222222222222,0.15317460317460316,0.20611111111111113,0.17521367521367523
KNN,TF-IDF,7.0,euclidean,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
KNN,One-Hot,7.0,euclidean,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
KNN,TF-IDF,7.0,manhattan,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
KNN,One-Hot,7.0,manhattan,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
KNN,TF-IDF,7.0,cosine,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
KNN,One-Hot,7.0,cosine,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
Logistic Regression,TF-IDF,,,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
Logistic Regression,One-Hot,,,0.6805555555555555,0.1909722222222222,0.27777777777777773,0.226007326007326
